year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1965,1903,511,0.27,0,0,0,0,11592183,0,PA
1965,25,1,0.04,0,0,0,0,2631489,0,NA
1965,64,30,0.47,0,0,0,0,938976,0,RI
1965,573,66,0.12,0,0,0,0,2601467,0,SC
1965,192,82,0.43,0,0,0,0,710935,0,SD
1965,606,92,0.15,0,0,0,0,3895315,0,TN
1965,1265,416,0.33,0,0,0,0,10806282,0,TX
1965,199,61,0.31,0,0,0,0,1046845,0,UT
1965,3,0,0,0,0,0,0,0,0,NA
1965,492,125,0.25,0,0,0,0,4442398,0,VA
1965,105,27,0.26,0,0,0,0,397263,0,VT
1965,328,106,0.32,0,0,0,0,3111906,0,WA
1965,489,190,0.39,0,0,0,0,4288550,0,WI
1965,542,53,0.10,0,0,0,0,1792317,0,WV
1965,89,38,0.43,0,0,0,0,347382,0,WY
1965,1,0,0,0,0,0,0,0,0,NA
1965,0,0,0,0,0,0,0,0,0,NA
1966,55,7,0.13,0,0,0,0,263131,0,AK
1966,488,83,0.17,0,0,0,0,3608224,0,AL
1966,346,73,0.21,0,0,0,0,2001198,0,AR
1966,1,0,0,0,0,0,0,0,0,NA
1966,173,42,0.24,0,0,0,0,1682457,0,AZ
1966,931,387,0.42,0,0,0,0,19761236,0,CA
1966,321,95,0.30,0,0,0,0,2042031,0,CO
1966,129,78,0.60,0,0,0,0,2968700,0,CT
1966,1,0,0,0,0,0,0,43600,0,NA
1966,3,1,0.33,0,0,0,0,808000,0,DC
1966,84,12,0.14,0,0,0,0,520955,0,DE
1966,1219,160,0.13,0,0,0,0,6263826,0,FL
1966,825,115,0.14,0,0,0,0,4536216,0,GA
1966,3,0,0,0,0,0,0,65600,0,NA
1966,18,7,0.39,0,0,0,0,719083,0,HI
1966,283,182,0.64,0,0,0,0,2781707,0,IA
1966,152,68,0.45,0,0,0,0,716272,0,ID
1966,1186,371,0.31,0,0,0,0,10779327,0,IL
1966,414,207,0.50,0,0,0,0,4927252,0,IN
1966,473,183,0.39,0,0,0,0,2255467,0,KS
1966,709,140,0.20,0,0,0,0,3147195,0,KY
1966,314,80,0.25,0,0,0,0,3837238,0,LA
1966,511,213,0.42,0,0,0,0,5403194,0,MA
1966,213,51,0.24,0,0,0,0,3733495,0,MD
1966,260,82,0.32,0,0,0,0,1024903,0,ME
1966,874,260,0.30,0,0,0,0,8396892,0,MI
1966,485,204,0.42,0,0,0,0,3603742,0,MN
1966,727,193,0.27,0,0,0,0,4618439,0,MO
1966,258,63,0.24,0,0,0,0,2355058,0,MS
1966,148,78,0.53,0,0,0,0,731644,0,MT
1966,342,120,0.35,0,0,0,0,1502015,0,NE
1966,827,144,0.17,0,0,0,0,4902756,0,NC
1966,144,61,0.42,0,0,0,0,649731,0,ND
1966,259,45,0.17,0,0,0,0,681090,0,NH
1966,658,325,0.49,0,0,0,0,6953988,0,NJ
1966,164,59,0.36,0,0,0,0,1114546,0,NM
1966,79,24,0.30,0,0,0,0,465070,0,NV
