year,state,governor,party
1978-01-01,WV,John Davison Rockefeller,Democrat
1978-01-01,WI,Martin James Schreiber,Democrat
1978-01-01,WY,Edward Herschler,Democrat
1977-01-01,AL,George Corley Wallace,Democrat
1977-01-01,AK,Jay S. Hammond,Republican
1977-01-01,AZ,Wesley Bolin,Democrat
1977-01-01,AR,David Hampton Pryor,Democrat
1977-01-01,CA,Edmund G. Brown,Democrat
1977-01-01,CO,Richard D. Lamm,Democrat
1977-01-01,CT,Ella T. Grasso,Democrat
1977-01-01,DE,Pierre Samuel Du Pont,Republican
1977-01-01,FL,Reubin O'Donovan Askew,Democrat
1977-01-01,GA,George Dekle Busbee,Democrat
1977-01-01,HI,George Ryoichi Ariyoshi,Democrat
1977-01-01,ID,John Victor Evans,Democrat
1977-01-01,IL,James Robert Thompson,Republican
1977-01-01,IN,Otis Ray Bowen,Republican
1977-01-01,IA,Robert D. Ray,Republican
1977-01-01,KS,Robert F. Bennett,Republican
1977-01-01,KY,Julian Morton Carroll,Democrat
1977-01-01,LA,Edwin Washington Edwards,Democrat
1977-01-01,ME,James Bernard Longley,Independent
1977-01-01,MD,Blair Lee,Democrat
1977-01-01,MA,Michael Stanley Dukakis,Democrat
1977-01-01,MI,William Grawn Milliken,Republican
1977-01-01,MN,Rudolph George Perpich,Democrat
1977-01-01,MS,Charles Clifton Finch,Democrat
1977-01-01,MO,Joseph P. Teasdale,Democrat
1977-01-01,MT,Thomas Lee Judge,Democrat
1977-01-01,NE,John James Exon,Democrat
1977-01-01,NV,Mike O'Callaghan,Democrat
1977-01-01,NH,Meldrim Thomson,Republican
1977-01-01,NJ,Brendan Thomas Byrne,Democrat
1977-01-01,NM,Jerry Apodaca,Democrat
1977-01-01,NY,Hugh Leo Carey,Democrat
1977-01-01,NC,James B. Hunt,Democrat
1977-01-01,ND,Arthur Albert Link,Democrat
1977-01-01,OH,James Allen Rhodes,Republican
1977-01-01,OK,David Lyle Boren,Democrat
1977-01-01,OR,Robert William Straub,Democrat
1977-01-01,PA,Milton Jerrold Shapp,Democrat
1977-01-01,RI,J. Joseph Garrahy,Democrat
1977-01-01,SC,James Burrows Edwards,Republican
1977-01-01,SD,Richard Francis Kneip,Democrat
1977-01-01,TN,Ray Blanton,Democrat
1977-01-01,TX,Dolph Briscoe,Democrat
1977-01-01,UT,Scott M. Matheson,Democrat
1977-01-01,VT,Richard A. Snelling,Republican
1977-01-01,VA,Mills Edwin Godwin,Republican
1977-01-01,WA,Dixy Lee Ray,Democrat
1977-01-01,WV,John Davison Rockefeller,Democrat
1977-01-01,WI,Martin James Schreiber,Democrat
1977-01-01,WY,Edward Herschler,Democrat
1976-01-01,AL,George Corley Wallace,Democrat
1976-01-01,AK,Jay S. Hammond,Republican
1976-01-01,AZ,Raul H. Castro,Democrat
1976-01-01,AR,David Hampton Pryor,Democrat
1976-01-01,CA,Edmund G. Brown,Democrat
1976-01-01,CO,Richard D. Lamm,Democrat
1976-01-01,CT,Ella T. Grasso,Democrat
1976-01-01,DE,Sherman W. Tribbitt,Democrat
1976-01-01,FL,Reubin O'Donovan Askew,Democrat
1976-01-01,GA,George Dekle Busbee,Democrat
1976-01-01,HI,George Ryoichi Ariyoshi,Democrat
1976-01-01,ID,Cecil Dale Andrus,Democrat
1976-01-01,IL,Daniel Walker,Democrat
1976-01-01,IN,Otis Ray Bowen,Republican
1976-01-01,IA,Robert D. Ray,Republican
1976-01-01,KS,Robert F. Bennett,Republican
1976-01-01,KY,Julian Morton Carroll,Democrat
1976-01-01,LA,Edwin Washington Edwards,Democrat
1976-01-01,ME,James Bernard Longley,Independent
1976-01-01,MD,Marvin Mandel,Democrat
1976-01-01,MA,Michael Stanley Dukakis,Democrat
1976-01-01,MI,William Grawn Milliken,Republican
1976-01-01,MN,Rudolph George Perpich,Democrat
1976-01-01,MS,Charles Clifton Finch,Democrat
1976-01-01,MO,Christopher S. Bond,Republican
1976-01-01,MT,Thomas Lee Judge,Democrat
1976-01-01,NE,John James Exon,Democrat
1976-01-01,NV,Mike O'Callaghan,Democrat
1976-01-01,NH,Meldrim Thomson,Republican
1976-01-01,NJ,Brendan Thomas Byrne,Democrat
1976-01-01,NM,Jerry Apodaca,Democrat
1976-01-01,NY,Hugh Leo Carey,Democrat
1976-01-01,NC,James E. Holshouser,Republican
1976-01-01,ND,Arthur Albert Link,Democrat
1976-01-01,OH,James Allen Rhodes,Republican
1976-01-01,OK,David Lyle Boren,Democrat
1976-01-01,OR,Robert William Straub,Democrat
1976-01-01,PA,Milton Jerrold Shapp,Democrat
1976-01-01,RI,Philip W. Noel,Democrat
1976-01-01,SC,James Burrows Edwards,Republican
1976-01-01,SD,Richard Francis Kneip,Democrat
1976-01-01,TN,Ray Blanton,Democrat
1976-01-01,TX,Dolph Briscoe,Democrat
1976-01-01,UT,Calvin Lewellyn Rampton,Democrat
1976-01-01,VT,Thomas P. Salmon,Democrat
1976-01-01,VA,Mills Edwin Godwin,Republican
1976-01-01,WA,Daniel Jackson Evans,Republican
1976-01-01,WV,Arch A. Moore,Republican
1976-01-01,WI,Patrick Joseph Lucey,Democrat
1976-01-01,WY,Edward Herschler,Democrat
1975-01-01,AL,George Corley Wallace,Democrat
1975-01-01,AK,Jay S. Hammond,Republican
1975-01-01,AZ,Raul H. Castro,Democrat
1975-01-01,AR,David Hampton Pryor,Democrat
1975-01-01,CA,Edmund G. Brown,Democrat
1975-01-01,CO,Richard D. Lamm,Democrat
1975-01-01,CT,Ella T. Grasso,Democrat
1975-01-01,DE,Sherman W. Tribbitt,Democrat
1975-01-01,FL,Reubin O'Donovan Askew,Democrat
1975-01-01,GA,George Dekle Busbee,Democrat
1975-01-01,HI,George Ryoichi Ariyoshi,Democrat
1975-01-01,ID,Cecil Dale Andrus,Democrat
1975-01-01,IL,Daniel Walker,Democrat
1975-01-01,IN,Otis Ray Bowen,Republican
1975-01-01,IA,Robert D. Ray,Republican
1975-01-01,KS,Robert F. Bennett,Republican
1975-01-01,KY,Julian Morton Carroll,Democrat
1975-01-01,LA,Edwin Washington Edwards,Democrat
1975-01-01,ME,James Bernard Longley,Independent
1975-01-01,MD,Marvin Mandel,Democrat
1975-01-01,MA,Michael Stanley Dukakis,Democrat
1975-01-01,MI,William Grawn Milliken,Republican
1975-01-01,MN,Wendell Richard Anderson,Democrat
1975-01-01,MS,William Lowe Waller,Democrat
1975-01-01,MO,Christopher S. Bond,Republican
1975-01-01,MT,Thomas Lee Judge,Democrat
1975-01-01,NE,John James Exon,Democrat
1975-01-01,NV,Mike O'Callaghan,Democrat
1975-01-01,NH,Meldrim Thomson,Republican
1975-01-01,NJ,Brendan Thomas Byrne,Democrat
1975-01-01,NM,Jerry Apodaca,Democrat
1975-01-01,NY,Hugh Leo Carey,Democrat
1975-01-01,NC,James E. Holshouser,Republican
1975-01-01,ND,Arthur Albert Link,Democrat
1975-01-01,OH,James Allen Rhodes,Republican
1975-01-01,OK,David Lyle Boren,Democrat
1975-01-01,OR,Robert William Straub,Democrat
1975-01-01,PA,Milton Jerrold Shapp,Democrat
1975-01-01,RI,Philip W. Noel,Democrat
1975-01-01,SC,James Burrows Edwards,Republican
1975-01-01,SD,Richard Francis Kneip,Democrat
1975-01-01,TN,Ray Blanton,Democrat
1975-01-01,TX,Dolph Briscoe,Democrat
1975-01-01,UT,Calvin Lewellyn Rampton,Democrat
1975-01-01,VT,Thomas P. Salmon,Democrat
1975-01-01,VA,Mills Edwin Godwin,Republican
1975-01-01,WA,Daniel Jackson Evans,Republican
1975-01-01,WV,Arch A. Moore,Republican
1975-01-01,WI,Patrick Joseph Lucey,Democrat
1975-01-01,WY,Edward Herschler,Democrat
1974-01-01,AL,George Corley Wallace,Democrat
1974-01-01,AK,Jay S. Hammond,Republican
1974-01-01,AZ,"John ""Jack"" R. Williams",Republican
1974-01-01,AR,Dale Bumpers,Democrat
1974-01-01,CA,Ronald Wilson Reagan,Republican
1974-01-01,CO,John D. Vanderhoof,Republican
1974-01-01,CT,Thomas J. Meskill,Republican
1974-01-01,DE,Sherman W. Tribbitt,Democrat
1974-01-01,FL,Reubin O'Donovan Askew,Democrat
1974-01-01,GA,Jimmy Earl Carter,Democrat
1974-01-01,HI,George Ryoichi Ariyoshi,Democrat
1974-01-01,ID,Cecil Dale Andrus,Democrat
1974-01-01,IL,Daniel Walker,Democrat
1974-01-01,IN,Otis Ray Bowen,Republican
1974-01-01,IA,Robert D. Ray,Republican
1974-01-01,KS,Robert Blackwell Docking,Democrat
1974-01-01,KY,Julian Morton Carroll,Democrat
1974-01-01,LA,Edwin Washington Edwards,Democrat
1974-01-01,ME,Kenneth Merwin Curtis,Democrat
1974-01-01,MD,Marvin Mandel,Democrat
1974-01-01,MA,Francis Williams Sargent,Republican
1974-01-01,MI,William Grawn Milliken,Republican
1974-01-01,MN,Wendell Richard Anderson,Democrat
1974-01-01,MS,William Lowe Waller,Democrat
1974-01-01,MO,Christopher S. Bond,Republican
1974-01-01,MT,Thomas Lee Judge,Democrat
1974-01-01,NE,John James Exon,Democrat
1974-01-01,NV,Mike O'Callaghan,Democrat
1974-01-01,NH,Meldrim Thomson,Republican
1974-01-01,NJ,Brendan Thomas Byrne,Democrat
1974-01-01,NM,Bruce King,Democrat
1974-01-01,NY,Malcolm Wilson,Republican
1974-01-01,NC,James E. Holshouser,Republican
1974-01-01,ND,Arthur Albert Link,Democrat
1974-01-01,OH,John Joyce Gilligan,Democrat
1974-01-01,OK,David Hall,Democrat
1974-01-01,OR,Thomas Lawson McCall,Republican
1974-01-01,PA,Milton Jerrold Shapp,Democrat
1974-01-01,RI,Philip W. Noel,Democrat
1974-01-01,SC,John Carl West,Democrat
1974-01-01,SD,Richard Francis Kneip,Democrat
1974-01-01,TN,Bryant Winfield Culberson Dunn,Republican
1974-01-01,TX,Dolph Briscoe,Democrat
1974-01-01,UT,Calvin Lewellyn Rampton,Democrat
1974-01-01,VT,Thomas P. Salmon,Democrat
1974-01-01,VA,Mills Edwin Godwin,Republican
1974-01-01,WA,Daniel Jackson Evans,Republican
1974-01-01,WV,Arch A. Moore,Republican
1974-01-01,WI,Patrick Joseph Lucey,Democrat
1974-01-01,WY,Stanley K. Hathaway,Republican
1973-01-01,AL,George Corley Wallace,Democrat
1973-01-01,AK,William Allen Egan,Democrat
1973-01-01,AZ,"John ""Jack"" R. Williams",Republican
1973-01-01,AR,Dale Bumpers,Democrat
1973-01-01,CA,Ronald Wilson Reagan,Republican
1973-01-01,CO,John D. Vanderhoof,Republican
1973-01-01,CT,Thomas J. Meskill,Republican
1973-01-01,DE,Sherman W. Tribbitt,Democrat
1973-01-01,FL,Reubin O'Donovan Askew,Democrat
1973-01-01,GA,Jimmy Earl Carter,Democrat
1973-01-01,HI,John Anthony Burns,Democrat
1973-01-01,ID,Cecil Dale Andrus,Democrat
1973-01-01,IL,Daniel Walker,Democrat
1973-01-01,IN,Otis Ray Bowen,Republican
1973-01-01,IA,Robert D. Ray,Republican
1973-01-01,KS,Robert Blackwell Docking,Democrat
1973-01-01,KY,Wendell Hampton Ford,Democrat
1973-01-01,LA,Edwin Washington Edwards,Democrat
1973-01-01,ME,Kenneth Merwin Curtis,Democrat
1973-01-01,MD,Marvin Mandel,Democrat
1973-01-01,MA,Francis Williams Sargent,Republican
1973-01-01,MI,William Grawn Milliken,Republican
1973-01-01,MN,Wendell Richard Anderson,Democrat
1973-01-01,MS,William Lowe Waller,Democrat
1973-01-01,MO,Christopher S. Bond,Republican
1973-01-01,MT,Thomas Lee Judge,Democrat
1973-01-01,NE,John James Exon,Democrat
1973-01-01,NV,Mike O'Callaghan,Democrat
1973-01-01,NH,Meldrim Thomson,Republican
1973-01-01,NJ,William T. Cahill,Republican
1973-01-01,NM,Bruce King,Democrat
1973-01-01,NY,Malcolm Wilson,Republican
1973-01-01,NC,James E. Holshouser,Republican
1973-01-01,ND,Arthur Albert Link,Democrat
1973-01-01,OH,John Joyce Gilligan,Democrat
1973-01-01,OK,David Hall,Democrat
1973-01-01,OR,Thomas Lawson McCall,Republican
1973-01-01,PA,Milton Jerrold Shapp,Democrat
1973-01-01,RI,Philip W. Noel,Democrat
1973-01-01,SC,John Carl West,Democrat
1973-01-01,SD,Richard Francis Kneip,Democrat
1973-01-01,TN,Bryant Winfield Culberson Dunn,Republican
1973-01-01,TX,Dolph Briscoe,Democrat
1973-01-01,UT,Calvin Lewellyn Rampton,Democrat
1973-01-01,VT,Thomas P. Salmon,Democrat
1973-01-01,VA,Linwood Holton,Republican
1973-01-01,WA,Daniel Jackson Evans,Republican
1973-01-01,WV,Arch A. Moore,Republican
1973-01-01,WI,Patrick Joseph Lucey,Democrat
1973-01-01,WY,Stanley K. Hathaway,Republican
1972-01-01,AL,George Corley Wallace,Democrat
1972-01-01,AK,William Allen Egan,Democrat
1972-01-01,AZ,"John ""Jack"" R. Williams",Republican
1972-01-01,AR,Dale Bumpers,Democrat
1972-01-01,CA,Ronald Wilson Reagan,Republican
1972-01-01,CO,John Arthur Love,Republican
1972-01-01,CT,Thomas J. Meskill,Republican
1972-01-01,DE,Russell W. Peterson,Republican
1972-01-01,FL,Reubin O'Donovan Askew,Democrat
1972-01-01,GA,Jimmy Earl Carter,Democrat
1972-01-01,HI,John Anthony Burns,Democrat
1972-01-01,ID,Cecil Dale Andrus,Democrat
1972-01-01,IL,Richard Buell Ogilvie,Republican
1972-01-01,IN,Edgar Doud Whitcomb,Republican
1972-01-01,IA,Robert D. Ray,Republican
1972-01-01,KS,Robert Blackwell Docking,Democrat
1972-01-01,KY,Wendell Hampton Ford,Democrat
1972-01-01,LA,Edwin Washington Edwards,Democrat
1972-01-01,ME,Kenneth Merwin Curtis,Democrat
1972-01-01,MD,Marvin Mandel,Democrat
1972-01-01,MA,Francis Williams Sargent,Republican
1972-01-01,MI,William Grawn Milliken,Republican
1972-01-01,MN,Wendell Richard Anderson,Democrat
1972-01-01,MS,William Lowe Waller,Democrat
1972-01-01,MO,Warren E. Hearnes,Democrat
1972-01-01,MT,Forrest H. Anderson,Democrat
1972-01-01,NE,John James Exon,Democrat
1972-01-01,NV,Mike O'Callaghan,Democrat
1972-01-01,NH,Walter Peterson,Republican
1972-01-01,NJ,William T. Cahill,Republican
1972-01-01,NM,Bruce King,Democrat
1972-01-01,NY,Nelson Aldrich Rockefeller,Republican
1972-01-01,NC,Robert Walter Scott,Democrat
1972-01-01,ND,William Lewis Guy,Democrat
1972-01-01,OH,John Joyce Gilligan,Democrat
1972-01-01,OK,David Hall,Democrat
1972-01-01,OR,Thomas Lawson McCall,Republican
1972-01-01,PA,Milton Jerrold Shapp,Democrat
1972-01-01,RI,Frank Licht,Democrat
1972-01-01,SC,John Carl West,Democrat
1972-01-01,SD,Richard Francis Kneip,Democrat
1972-01-01,TN,Bryant Winfield Culberson Dunn,Republican
1972-01-01,TX,Preston Smith,Democrat
1972-01-01,UT,Calvin Lewellyn Rampton,Democrat
1972-01-01,VT,Deane C. Davis,Republican
1972-01-01,VA,Linwood Holton,Republican
1972-01-01,WA,Daniel Jackson Evans,Republican
1972-01-01,WV,Arch A. Moore,Republican
1972-01-01,WI,Patrick Joseph Lucey,Democrat
1972-01-01,WY,Stanley K. Hathaway,Republican
1971-01-01,AL,George Corley Wallace,Democrat
1971-01-01,AK,William Allen Egan,Democrat
1971-01-01,AZ,"John ""Jack"" R. Williams",Republican
1971-01-01,AR,Dale Bumpers,Democrat
1971-01-01,CA,Ronald Wilson Reagan,Republican
1971-01-01,CO,John Arthur Love,Republican
1971-01-01,CT,Thomas J. Meskill,Republican
1971-01-01,DE,Russell W. Peterson,Republican
1971-01-01,FL,Reubin O'Donovan Askew,Democrat
1971-01-01,GA,Jimmy Earl Carter,Democrat
1971-01-01,HI,John Anthony Burns,Democrat
1971-01-01,ID,Cecil Dale Andrus,Democrat
1971-01-01,IL,Richard Buell Ogilvie,Republican
1971-01-01,IN,Edgar Doud Whitcomb,Republican
1971-01-01,IA,Robert D. Ray,Republican
1971-01-01,KS,Robert Blackwell Docking,Democrat
1971-01-01,KY,Wendell Hampton Ford,Democrat
1971-01-01,LA,John Julian McKeithen,Democrat
1971-01-01,ME,Kenneth Merwin Curtis,Democrat
1971-01-01,MD,Marvin Mandel,Democrat
1971-01-01,MA,Francis Williams Sargent,Republican
1971-01-01,MI,William Grawn Milliken,Republican
1971-01-01,MN,Wendell Richard Anderson,Democrat
1971-01-01,MS,John Bell Williams,Democrat
1971-01-01,MO,Warren E. Hearnes,Democrat
1971-01-01,MT,Forrest H. Anderson,Democrat
1971-01-01,NE,John James Exon,Democrat
1971-01-01,NV,Mike O'Callaghan,Democrat
1971-01-01,NH,Walter Peterson,Republican
1971-01-01,NJ,William T. Cahill,Republican
1971-01-01,NM,Bruce King,Democrat
1971-01-01,NY,Nelson Aldrich Rockefeller,Republican
1971-01-01,NC,Robert Walter Scott,Democrat
1971-01-01,ND,William Lewis Guy,Democrat
1971-01-01,OH,John Joyce Gilligan,Democrat
1971-01-01,OK,David Hall,Democrat
1971-01-01,OR,Thomas Lawson McCall,Republican
1971-01-01,PA,Milton Jerrold Shapp,Democrat
1971-01-01,RI,Frank Licht,Democrat
1971-01-01,SC,John Carl West,Democrat
1971-01-01,SD,Richard Francis Kneip,Democrat
1971-01-01,TN,Bryant Winfield Culberson Dunn,Republican
1971-01-01,TX,Preston Smith,Democrat
1971-01-01,UT,Calvin Lewellyn Rampton,Democrat
1971-01-01,VT,Deane C. Davis,Republican
1971-01-01,VA,Linwood Holton,Republican
1971-01-01,WA,Daniel Jackson Evans,Republican
1971-01-01,WV,Arch A. Moore,Republican
1971-01-01,WI,Patrick Joseph Lucey,Democrat
1971-01-01,WY,Stanley K. Hathaway,Republican
1970-01-01,AL,Albert Preston Brewer,Democrat
1970-01-01,AK,William Allen Egan,Democrat
1970-01-01,AZ,"John ""Jack"" R. Williams",Republican
1970-01-01,AR,Winthrop Rockefeller,Republican
1970-01-01,CA,Ronald Wilson Reagan,Republican
1970-01-01,CO,John Arthur Love,Republican
1970-01-01,CT,John Dempsey,Democrat
1970-01-01,DE,Russell W. Peterson,Republican
1970-01-01,FL,Claude Roy Kirk,Republican
1970-01-01,GA,Lester Garfield Maddox,Democrat
1970-01-01,HI,John Anthony Burns,Democrat
1970-01-01,ID,Don William Samuelson,Republican
1970-01-01,IL,Richard Buell Ogilvie,Republican
1970-01-01,IN,Edgar Doud Whitcomb,Republican
1970-01-01,IA,Robert D. Ray,Republican
1970-01-01,KS,Robert Blackwell Docking,Democrat
1970-01-01,KY,Louie Broady Nunn,Republican
1970-01-01,LA,John Julian McKeithen,Democrat
1970-01-01,ME,Kenneth Merwin Curtis,Democrat
1970-01-01,MD,Marvin Mandel,Democrat
1970-01-01,MA,Francis Williams Sargent,Republican
1970-01-01,MI,William Grawn Milliken,Republican
1970-01-01,MN,Harold LeVander,Republican
1970-01-01,MS,John Bell Williams,Democrat
1970-01-01,MO,Warren E. Hearnes,Democrat
1970-01-01,MT,Forrest H. Anderson,Democrat
1970-01-01,NE,Norbert T. Tiemann,Republican
1970-01-01,NV,Paul Dominque Laxalt,Republican
1970-01-01,NH,Walter Peterson,Republican
1970-01-01,NJ,William T. Cahill,Republican
1970-01-01,NM,David Francis Cargo,Republican
1970-01-01,NY,Nelson Aldrich Rockefeller,Republican
1970-01-01,NC,Robert Walter Scott,Democrat
1970-01-01,ND,William Lewis Guy,Democrat
1970-01-01,OH,James Allen Rhodes,Republican
1970-01-01,OK,Dewey Follett Bartlett,Republican
1970-01-01,OR,Thomas Lawson McCall,Republican
1970-01-01,PA,Raymond Philip Shafer,Republican
1970-01-01,RI,Frank Licht,Democrat
1970-01-01,SC,Robert Evander McNair,Democrat
1970-01-01,SD,Frank Leroy Farrar,Republican
1970-01-01,TN,Earl Buford Ellington,Democrat
1970-01-01,TX,Preston Smith,Democrat
1970-01-01,UT,Calvin Lewellyn Rampton,Democrat
1970-01-01,VT,Deane C. Davis,Republican
1970-01-01,VA,Linwood Holton,Republican
1970-01-01,WA,Daniel Jackson Evans,Republican
1970-01-01,WV,Arch A. Moore,Republican
1970-01-01,WI,Warren P. Knowles,Republican
1970-01-01,WY,Stanley K. Hathaway,Republican
1969-01-01,AL,Albert Preston Brewer,Democrat
1969-01-01,AK,Keith H. Miller,Republican
1969-01-01,AZ,"John ""Jack"" R. Williams",Republican
1969-01-01,AR,Winthrop Rockefeller,Republican
1969-01-01,CA,Ronald Wilson Reagan,Republican
1969-01-01,CO,John Arthur Love,Republican
1969-01-01,CT,John Dempsey,Democrat
1969-01-01,DE,Russell W. Peterson,Republican
1969-01-01,FL,Claude Roy Kirk,Republican
1969-01-01,GA,Lester Garfield Maddox,Democrat
1969-01-01,HI,John Anthony Burns,Democrat
1969-01-01,ID,Don William Samuelson,Republican
1969-01-01,IL,Richard Buell Ogilvie,Republican
1969-01-01,IN,Edgar Doud Whitcomb,Republican
1969-01-01,IA,Robert D. Ray,Republican
1969-01-01,KS,Robert Blackwell Docking,Democrat
1969-01-01,KY,Louie Broady Nunn,Republican
1969-01-01,LA,John Julian McKeithen,Democrat
1969-01-01,ME,Kenneth Merwin Curtis,Democrat
1969-01-01,MD,Marvin Mandel,Democrat
1969-01-01,MA,Francis Williams Sargent,Republican
1969-01-01,MI,William Grawn Milliken,Republican
1969-01-01,MN,Harold LeVander,Republican
1969-01-01,MS,John Bell Williams,Democrat
1969-01-01,MO,Warren E. Hearnes,Democrat
1969-01-01,MT,Forrest H. Anderson,Democrat
1969-01-01,NE,Norbert T. Tiemann,Republican
1969-01-01,NV,Paul Dominque Laxalt,Republican
1969-01-01,NH,Walter Peterson,Republican
1969-01-01,NJ,Richard Joseph Hughes,Democrat
1969-01-01,NM,David Francis Cargo,Republican
1969-01-01,NY,Nelson Aldrich Rockefeller,Republican
1969-01-01,NC,Robert Walter Scott,Democrat
1969-01-01,ND,William Lewis Guy,Democrat
1969-01-01,OH,James Allen Rhodes,Republican
1969-01-01,OK,Dewey Follett Bartlett,Republican
1969-01-01,OR,Thomas Lawson McCall,Republican
1969-01-01,PA,Raymond Philip Shafer,Republican
1969-01-01,RI,Frank Licht,Democrat
1969-01-01,SC,Robert Evander McNair,Democrat
1969-01-01,SD,Frank Leroy Farrar,Republican
1969-01-01,TN,Earl Buford Ellington,Democrat
1969-01-01,TX,Preston Smith,Democrat
1969-01-01,UT,Calvin Lewellyn Rampton,Democrat
1969-01-01,VT,Deane C. Davis,Republican
1969-01-01,VA,Mills Edwin Godwin,Democrat
1969-01-01,WA,Daniel Jackson Evans,Republican
1969-01-01,WV,Arch A. Moore,Republican
1969-01-01,WI,Warren P. Knowles,Republican
1969-01-01,WY,Stanley K. Hathaway,Republican
1968-01-01,AL,Albert Preston Brewer,Democrat
1968-01-01,AK,Walter J. Hickel,Independent
1968-01-01,AZ,"John ""Jack"" R. Williams",Republican
1968-01-01,AR,Winthrop Rockefeller,Republican
1968-01-01,CA,Ronald Wilson Reagan,Republican
1968-01-01,CO,John Arthur Love,Republican
1968-01-01,CT,John Dempsey,Democrat
1968-01-01,DE,Charles L. Terry,Democrat
1968-01-01,FL,Claude Roy Kirk,Republican
1968-01-01,GA,Lester Garfield Maddox,Democrat
1968-01-01,HI,John Anthony Burns,Democrat
1968-01-01,ID,Don William Samuelson,Republican
1968-01-01,IL,Samuel H. Shapiro,Democrat
1968-01-01,IN,Roger Douglas Branigin,Democrat
1968-01-01,IA,Harold Everett Hughes,Democrat
1968-01-01,KS,Robert Blackwell Docking,Democrat
1968-01-01,KY,Louie Broady Nunn,Republican
1968-01-01,LA,John Julian McKeithen,Democrat
1968-01-01,ME,Kenneth Merwin Curtis,Democrat
1968-01-01,MD,Spiro Theodore Agnew,Republican
1968-01-01,MA,John Anthony Volpe,Republican
1968-01-01,MI,George Wilcken Romney,Republican
1968-01-01,MN,Harold LeVander,Republican
1968-01-01,MS,John Bell Williams,Democrat
1968-01-01,MO,Warren E. Hearnes,Democrat
1968-01-01,MT,Tim M. Babcock,Republican
1968-01-01,NE,Norbert T. Tiemann,Republican
1968-01-01,NV,Paul Dominque Laxalt,Republican
1968-01-01,NH,John William King,Democrat
1968-01-01,NJ,Richard Joseph Hughes,Democrat
1968-01-01,NM,David Francis Cargo,Republican
1968-01-01,NY,Nelson Aldrich Rockefeller,Republican
1968-01-01,NC,Dan Killian Moore,Democrat
1968-01-01,ND,William Lewis Guy,Democrat
1968-01-01,OH,James Allen Rhodes,Republican
1968-01-01,OK,Dewey Follett Bartlett,Republican
1968-01-01,OR,Thomas Lawson McCall,Republican
1968-01-01,PA,Raymond Philip Shafer,Republican
