year,state,governor,party
2009-01-01,UT,Gary Richard Herbert,Republican
2009-01-01,VT,Jim Douglas,Republican
2009-01-01,VA,Tim Kaine,Democrat
2009-01-01,WA,Chris Gregoire,Democrat
2009-01-01,WV,Joe Manchin III,Democrat
2009-01-01,WI,Jim Doyle,Democrat
2009-01-01,WY,Dave Freudenthal,Democrat
2008-01-01,AL,Bob Riley,Republican
2008-01-01,AK,Sarah Palin,Republican
2008-01-01,AZ,Janet Napolitano,Democrat
2008-01-01,AR,Mike Beebe,Democrat
2008-01-01,CA,Arnold Schwarzenegger,Republican
2008-01-01,CO,Bill Ritter,Democrat
2008-01-01,CT,M. Jodi Rell,Republican
2008-01-01,DE,Ruth Ann Minner,Democrat
2008-01-01,FL,Charlie Crist,Republican
2008-01-01,GA,Sonny Perdue,Republican
2008-01-01,HI,Linda Lingle,Republican
2008-01-01,ID,"C. L. ""Butch"" Otter",Republican
2008-01-01,IL,Rod R. Blagojevich,Democrat
2008-01-01,IN,Mitch Daniels,Republican
2008-01-01,IA,Chet Culver,Democrat
2008-01-01,KS,Kathleen Sebelius,Democrat
2008-01-01,KY,Steven L. Beshear,Democrat
2008-01-01,LA,Bobby Jindal,Republican
2008-01-01,ME,John E. Baldacci,Democrat
2008-01-01,MD,Martin O'Malley,Democrat
2008-01-01,MA,Deval Patrick,Democrat
2008-01-01,MI,Jennifer M. Granholm,Democrat
2008-01-01,MN,Tim Pawlenty,Republican
2008-01-01,MS,Haley Barbour,Republican
2008-01-01,MO,Matt Blunt,Republican
2008-01-01,MT,Brian Schweitzer,Democrat
2008-01-01,NE,Dave Heineman,Republican
2008-01-01,NV,Jim Gibbons,Republican
2008-01-01,NH,John Lynch,Democrat
2008-01-01,NJ,Jon Corzine,Democrat
2008-01-01,NM,Bill Richardson,Democrat
2008-01-01,NY,David A. Paterson,Democrat
2008-01-01,NC,Michael F. Easley,Democrat
2008-01-01,ND,John Hoeven,Republican
2008-01-01,OH,Ted Strickland,Democrat
2008-01-01,OK,Brad Henry,Democrat
2008-01-01,OR,Ted Kulongoski,Democrat
2008-01-01,PA,Edward G. Rendell,Democrat
2008-01-01,RI,Don Carcieri,Republican
2008-01-01,SC,Mark Sanford,Republican
2008-01-01,SD,Mike Rounds,Republican
2008-01-01,TN,Phil Bredesen,Democrat
2008-01-01,TX,Rick Perry,Republican
2008-01-01,UT,Jon Huntsman,Republican
2008-01-01,VT,Jim Douglas,Republican
2008-01-01,VA,Tim Kaine,Democrat
2008-01-01,WA,Chris Gregoire,Democrat
2008-01-01,WV,Joe Manchin III,Democrat
2008-01-01,WI,Jim Doyle,Democrat
